;Akeywords_lemma;Akeywords_pos
60105475;[('seismic', 184), ('star', 146), ('analysis', 129), ('xrays', 122), ('assessment', 113), ('model', 109), ('individual', 98), ('risk', 85), ('cognition', 75), ('method', 67), ('element', 67), ('neutron', 63), ('design', 62), ('build', 59), ('frame', 58), ('general', 56), ('spectrum', 55), ('earthquake', 51), ('structure', 50), ('pulsar', 49), ('loss', 47), ('finite', 45), ('nonlinear', 45), ('concrete', 44), ('social', 43), ('test', 42), ('fragility', 41), ('language', 39), ('response', 39), ('rc', 37)];[(('seismic', 'JJ'), 171), (('stars', 'NNS'), 127), (('analysis', 'NN'), 118), (('assessment', 'NN'), 90), (('individual', 'JJ'), 85), (('risk', 'NN'), 81), (('design', 'NN'), 62), (('general', 'JJ'), 56), (('cognitive', 'JJ'), 50), (('neutron', 'VBP'), 47), (('earthquake', 'NN'), 44), (('social', 'JJ'), 43), (('loss', 'NN'), 41), (('fragility', 'NN'), 41), (('pulsars', 'NNS'), 40), (('language', 'NN'), 39), (('response', 'NN'), 39), (('buildings', 'NNS'), 39), (('concrete', 'JJ'), 38), (('xrays', 'NNS'), 37), (('model', 'NN'), 36), (('xrays', 'VBZ'), 36), (('frames', 'NNS'), 35), (('binaries', 'NNS'), 35), (('method', 'NN'), 34), (('reinforced', 'VBD'), 33), (('elements', 'NNS'), 31), (('nonlinear', 'JJ'), 30), (('methods', 'NNS'), 30), (('vulnerability', 'NN'), 29)]
60105927;[('analysis', 50), ('model', 46), ('energy', 39), ('system', 31), ('hadronhadron', 31), ('scatter', 31), ('disorder', 23), ('test', 22), ('guilt', 22), ('wind', 21), ('learn', 21), ('interaction', 19), ('masonry', 18), ('method', 17), ('process', 17), ('network', 16), ('sustainability', 16), ('cell', 16), ('dark', 16), ('nervous_system', 15), ('effect', 15), ('design', 14), ('data', 14), ('vehicle', 13), ('turbine', 13), ('physic', 13), ('experiment', 13), ('performance', 13), ('machine', 12), ('risk', 12)];[(('analysis', 'NN'), 45), (('energy', 'NN'), 38), (('hadronhadron', 'NN'), 31), (('scattering', 'VBG'), 31), (('model', 'NN'), 27), (('masonry', 'NN'), 18), (('guilt', 'NN'), 18), (('system', 'NN'), 17), (('disorder', 'NN'), 17), (('learning', 'VBG'), 15), (('dark', 'JJ'), 15), (('wind', 'NN'), 14), (('systems', 'NNS'), 14), (('design', 'NN'), 14), (('physics', 'NNS'), 13), (('data', 'NNS'), 13), (('performance', 'NN'), 13), (('sustainability', 'NN'), 12), (('machine', 'NN'), 12), (('cancer', 'NN'), 12), (('effect', 'NN'), 12), (('vehicle', 'NN'), 11), (('digital', 'JJ'), 11), (('interaction', 'NN'), 11), (('test', 'NN'), 11), (('debonding', 'VBG'), 11), (('method', 'NN'), 10), (('renewable', 'JJ'), 10), (('network', 'NN'), 10), (('simulation', 'NN'), 10)]
60107210;[('cancer', 329), ('disease', 276), ('surgery', 252), ('covid', 167), ('cell', 161), ('therapy', 128), ('carcinoma', 106), ('liver', 105), ('tumor', 93), ('asthma', 82), ('colon', 81), ('outcome', 76), ('bowel', 76), ('treatment', 75), ('metastasis', 75), ('inflammatory', 73), ('coronary', 70), ('crohn', 69), ('sarscov', 67), ('heart', 67), ('prostate', 64), ('lung', 63), ('quality', 63), ('breast', 62), ('inflammation', 61), ('immunotherapy', 60), ('syndrome', 59), ('image', 58), ('health', 57), ('risk', 57)];[(('cancer', 'NN'), 324), (('disease', 'NN'), 234), (('surgery', 'NN'), 199), (('therapy', 'NN'), 114), (('carcinoma', 'NN'), 104), (('covid', 'NN'), 88), (('liver', 'NN'), 80), (('cell', 'NN'), 76), (('bowel', 'NN'), 73), (('coronary', 'JJ'), 70), (('treatment', 'NN'), 69), (('cells', 'NNS'), 69), (('asthma', 'NN'), 63), (('crohns', 'NN'), 61), (('breast', 'NN'), 61), (('inflammation', 'NN'), 58), (('tumor', 'NN'), 58), (('health', 'NN'), 57), (('sarscov', 'NN'), 56), (('analysis', 'NN'), 56), (('life', 'NN'), 55), (('colitis', 'NN'), 54), (('prostate', 'NN'), 54), (('colorectal', 'JJ'), 54), (('care', 'NN'), 54), (('clinical', 'JJ'), 54), (('resection', 'NN'), 53), (('hepatocellular', 'JJ'), 53), (('risk', 'NN'), 53), (('ulcerative', 'JJ'), 50)]
60109537;[('management', 43), ('innovation', 37), ('knowledge', 35), ('social', 28), ('system', 27), ('model', 23), ('organization', 23), ('entrepreneur', 23), ('technology', 19), ('network', 18), ('performance', 18), ('risk', 16), ('development', 16), ('sustainability', 16), ('capital', 16), ('finance', 15), ('dynamic', 14), ('business', 14), ('industry', 13), ('digit', 13), ('smes', 13), ('analysis', 12), ('internet', 12), ('city', 12), ('entrepreneurship', 12), ('medium', 12), ('process', 11), ('corporation', 11), ('firm', 11), ('data', 11)];[(('management', 'NN'), 42), (('innovation', 'NN'), 34), (('social', 'JJ'), 28), (('knowledge', 'NN'), 26), (('entrepreneurial', 'JJ'), 21), (('performance', 'NN'), 18), (('development', 'NN'), 16), (('technology', 'NN'), 15), (('capital', 'NN'), 15), (('organizational', 'JJ'), 14), (('system', 'NN'), 14), (('business', 'NN'), 14), (('digital', 'JJ'), 13), (('systems', 'NNS'), 13), (('sustainable', 'JJ'), 12), (('analysis', 'NN'), 11), (('industry', 'NN'), 11), (('media', 'NNS'), 11), (('financial', 'JJ'), 11), (('data', 'NNS'), 11), (('corporate', 'JJ'), 10), (('open', 'JJ'), 10), (('risk', 'NN'), 10), (('dynamics', 'NNS'), 10), (('ambidexterity', 'NN'), 9), (('internal', 'JJ'), 8), (('network', 'NN'), 8), (('emerging', 'VBG'), 8), (('environmental', 'JJ'), 8), (('model', 'NN'), 8)]
60112425;[('church', 26), ('law', 17), ('culture', 12), ('communication', 11), ('theology', 10), ('religious', 9), ('social', 9), ('religion', 9), ('freedom', 8), ('human', 8), ('marriage', 8), ('justice', 8), ('ethic', 8), ('catholic', 8), ('relation', 7), ('science', 7), ('right', 7), ('anthropology', 6), ('virtue', 6), ('good', 6), ('faith', 6), ('god', 5), ('leadership', 5), ('reason', 5), ('priesthood', 5), ('moral', 5), ('mercy', 5), ('canon', 5), ('public', 5), ('christian', 4)];[(('church', 'NN'), 21), (('law', 'NN'), 14), (('religious', 'JJ'), 9), (('theology', 'NN'), 9), (('social', 'JJ'), 9), (('religion', 'NN'), 9), (('communication', 'NN'), 9), (('human', 'JJ'), 8), (('marriage', 'NN'), 8), (('ethics', 'NNS'), 8), (('catholic', 'JJ'), 8), (('freedom', 'NN'), 7), (('cultural', 'JJ'), 7), (('science', 'NN'), 7), (('justice', 'NN'), 7), (('anthropology', 'NN'), 5), (('relation', 'NN'), 5), (('leadership', 'NN'), 5), (('reason', 'NN'), 5), (('public', 'JJ'), 5), (('culture', 'NN'), 5), (('christian', 'JJ'), 4), (('moral', 'JJ'), 4), (('church', 'VBP'), 4), (('philosophy', 'NN'), 4), (('good', 'JJ'), 4), (('natural', 'JJ'), 4), (('aristotle', 'JJ'), 4), (('virtue', 'NN'), 4), (('faith', 'JJ'), 4)]
60134846;[('model', 52), ('test', 48), ('analysis', 47), ('exercise', 45), ('performance', 40), ('sport', 39), ('train', 35), ('cognition', 32), ('motor', 32), ('muscle', 32), ('disease', 29), ('rehabilitation', 27), ('learn', 26), ('system', 26), ('disorder', 24), ('control', 24), ('therapy', 24), ('energy', 23), ('strength', 23), ('assessment', 22), ('virtual', 22), ('physical', 21), ('team', 21), ('theory', 21), ('metabolism', 21), ('obesity', 20), ('reality', 19), ('network', 19), ('body', 19), ('age', 19)];[(('analysis', 'NN'), 46), (('exercise', 'NN'), 44), (('performance', 'NN'), 39), (('motor', 'NN'), 32), (('cognitive', 'JJ'), 31), (('training', 'NN'), 30), (('sport', 'NN'), 29), (('rehabilitation', 'NN'), 27), (('strength', 'NN'), 23), (('energy', 'NN'), 22), (('virtual', 'JJ'), 22), (('control', 'NN'), 21), (('learning', 'VBG'), 21), (('muscle', 'NN'), 21), (('physical', 'JJ'), 21), (('testing', 'VBG'), 20), (('team', 'NN'), 20), (('reality', 'NN'), 19), (('obesity', 'NN'), 18), (('body', 'NN'), 18), (('test', 'NN'), 18), (('disease', 'VBP'), 18), (('model', 'NN'), 18), (('memory', 'NN'), 17), (('theory', 'NN'), 17), (('therapy', 'NN'), 16), (('social', 'JJ'), 16), (('system', 'NN'), 16), (('study', 'NN'), 16), (('design', 'NN'), 15)]
60134847;[('analysis', 58), ('model', 48), ('ray', 34), ('general', 31), ('soil', 29), ('gamma', 27), ('galaxy', 27), ('masonry', 23), ('method', 23), ('seismic', 21), ('risk', 18), ('diet', 17), ('cancer', 17), ('data', 13), ('material', 13), ('system', 13), ('theory', 13), ('index', 12), ('thermal', 12), ('structure', 12), ('composite', 12), ('heat', 12), ('energy', 11), ('city', 11), ('obesity', 11), ('compositional', 11), ('region', 10), ('nonlocal', 10), ('individual', 10), ('circular', 9)];[(('analysis', 'NN'), 55), (('general', 'JJ'), 29), (('galaxies', 'NNS'), 22), (('seismic', 'JJ'), 21), (('masonry', 'NN'), 20), (('model', 'NN'), 20), (('soil', 'NN'), 19), (('cancer', 'NN'), 17), (('rays', 'VBZ'), 17), (('diet', 'JJ'), 16), (('risk', 'NN'), 15), (('gamma', 'NN'), 14), (('gamma', 'VBP'), 13), (('data', 'NNS'), 12), (('rays', 'NNS'), 12), (('index', 'NN'), 11), (('energy', 'NN'), 11), (('theory', 'NN'), 11), (('compositional', 'JJ'), 11), (('thermal', 'JJ'), 10), (('nonlocal', 'JJ'), 10), (('method', 'NN'), 10), (('composite', 'JJ'), 10), (('methods', 'NNS'), 10), (('individual', 'JJ'), 10), (('circular', 'JJ'), 9), (('activity', 'NN'), 9), (('numerical', 'JJ'), 9), (('local', 'JJ'), 9), (('anaerobic', 'JJ'), 8)]
60136210;[('detector', 200), ('cosmos', 158), ('ray', 148), ('cosmology', 146), ('method', 144), ('neutrino', 143), ('wave', 143), ('theory', 134), ('gravitation', 132), ('dark', 124), ('system', 113), ('general', 103), ('galaxy', 103), ('energy', 102), ('matter', 98), ('model', 93), ('equation', 92), ('analysis', 90), ('radiation', 85), ('ism', 80), ('particle', 76), ('gravity', 75), ('star', 73), ('data', 72), ('physic', 66), ('experiment', 64), ('city', 63), ('background', 62), ('algorithm', 53), ('structure', 53)];[(('detectors', 'NNS'), 153), (('cosmic', 'JJ'), 145), (('gravitational', 'JJ'), 120), (('methods', 'NNS'), 117), (('waves', 'NNS'), 115), (('energy', 'NN'), 100), (('general', 'JJ'), 97), (('matter', 'NN'), 93), (('rays', 'NNS'), 90), (('analysis', 'NN'), 87), (('radiation', 'NN'), 84), (('dark', 'JJ'), 83), (('theory', 'NN'), 81), (('systems', 'NNS'), 79), (('gravity', 'NN'), 75), (('galaxies', 'NNS'), 75), (('ism', 'NN'), 73), (('cosmology', 'NN'), 72), (('data', 'NNS'), 69), (('physics', 'NNS'), 66), (('stars', 'NNS'), 60), (('model', 'NN'), 58), (('background', 'NN'), 56), (('equation', 'NN'), 55), (('neutrino', 'NN'), 53), (('cosmological', 'JJ'), 52), (('experiments', 'NNS'), 47), (('neutrinos', 'NNS'), 44), (('detector', 'NN'), 42), (('observations', 'NNS'), 40)]
60196832;[('covid', 35), ('disorder', 32), ('implant', 32), ('health', 29), ('aorta', 25), ('disease', 25), ('sarscov', 19), ('hiv', 18), ('syndrome', 17), ('treatment', 17), ('acid', 16), ('valve', 15), ('metabolism', 15), ('stress', 15), ('coronary', 15), ('vaccine', 14), ('quality', 14), ('factor', 13), ('use', 13), ('dental', 13), ('cell', 12), ('surgery', 12), ('bone', 12), ('care', 11), ('brain', 11), ('image', 11), ('cancer', 11), ('trauma', 11), ('vitamin', 11), ('heart', 10)];[(('health', 'NN'), 29), (('aortic', 'JJ'), 25), (('disorder', 'NN'), 23), (('covid', 'NN'), 22), (('implant', 'JJ'), 17), (('treatment', 'NN'), 16), (('valve', 'NN'), 15), (('disease', 'NN'), 15), (('stress', 'NN'), 15), (('coronary', 'JJ'), 15), (('use', 'NN'), 13), (('hiv', 'NN'), 12), (('syndrome', 'NN'), 12), (('quality', 'NN'), 12), (('sarscov', 'NN'), 11), (('care', 'NN'), 11), (('brain', 'NN'), 11), (('cancer', 'NN'), 11), (('metabolism', 'NN'), 11), (('surgery', 'NN'), 11), (('bone', 'NN'), 11), (('dental', 'JJ'), 11), (('vaccine', 'NN'), 10), (('resistance', 'NN'), 10), (('system', 'NN'), 10), (('therapy', 'NN'), 10), (('imaging', 'VBG'), 9), (('risk', 'NN'), 9), (('analysis', 'NN'), 9), (('chronic', 'JJ'), 9)]
60199653;[('heart', 53), ('failure', 43), ('disease', 30), ('hiv', 25), ('polymorphism', 18), ('cognition', 15), ('lupus', 14), ('syndrome', 13), ('risk', 13), ('kidney', 13), ('covid', 13), ('cancer', 12), ('disorder', 12), ('quality', 12), ('diabetes', 12), ('inhibitor', 12), ('outcome', 11), ('sclerosis', 11), ('infection', 11), ('systemic', 10), ('life', 10), ('network', 10), ('prevention', 9), ('factor', 9), ('therapy', 9), ('activity', 9), ('allergy', 9), ('analysis', 9), ('cardiomyopathy', 9), ('intervention', 8)];[(('heart', 'NN'), 47), (('failure', 'NN'), 43), (('hiv', 'NN'), 18), (('disease', 'NN'), 18), (('polymorphism', 'NN'), 14), (('cancer', 'NN'), 12), (('lupus', 'NN'), 11), (('risk', 'NN'), 11), (('sclerosis', 'NN'), 11), (('life', 'NN'), 10), (('prevention', 'NN'), 9), (('systemic', 'JJ'), 9), (('syndrome', 'NN'), 9), (('analysis', 'NN'), 9), (('cognitive', 'JJ'), 9), (('infection', 'NN'), 9), (('therapy', 'NN'), 8), (('disorder', 'NN'), 8), (('erythematosus', 'NN'), 8), (('activity', 'NN'), 8), (('quality', 'NN'), 8), (('multiple', 'JJ'), 8), (('inhibitors', 'NNS'), 8), (('acute', 'JJ'), 8), (('cardiotoxicity', 'NN'), 8), (('intervention', 'NN'), 7), (('factors', 'NNS'), 7), (('disease', 'VBP'), 7), (('chronic', 'JJ'), 7), (('health', 'NN'), 7)]
